Resource,Path,Git Org,Git Repository,Misconfigurations,Policy title,Guideline
aws_db_instance.mysql,/secure/main.tf,cli_repo,terraform,CKV_AWS_118,Ensure that enhanced monitoring is enabled for Amazon RDS instances,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/aws-policies/aws-logging-policies/ensure-that-enhanced-monitoring-is-enabled-for-amazon-rds-instances
aws_db_instance.mysql,/secure/main.tf,cli_repo,terraform,CKV_AWS_161,Ensure RDS database has IAM authentication enabled,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/aws-policies/aws-iam-policies/ensure-rds-database-has-iam-authentication-enabled
aws_db_instance.mysql,/secure/main.tf,cli_repo,terraform,CKV_AWS_129,Ensure that respective logs of Amazon Relational Database Service (Amazon RDS) are enabled,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/aws-policies/aws-iam-policies/ensure-that-respective-logs-of-amazon-relational-database-service-amazon-rds-are-enabled
aws_db_instance.mysql,/secure/main.tf,cli_repo,terraform,CKV_AWS_293,Ensure that AWS database instances have deletion protection enabled,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/aws-policies/aws-general-policies/bc-aws-293
aws_cloudtrail.main,/secure/main.tf,cli_repo,terraform,CKV_AWS_252,Ensure CloudTrail defines an SNS Topic,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/aws-policies/aws-general-policies/ensure-aws-cloudtrail-defines-an-sns-topic
aws_cloudtrail.main,/secure/main.tf,cli_repo,terraform,CKV_AWS_35,Ensure CloudTrail logs are encrypted at rest using KMS CMKs,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/aws-policies/aws-logging-policies/logging-7
aws_subnet.public,/vulnerable/main.tf,cli_repo,terraform,CKV_AWS_130,Ensure VPC subnets do not assign public IP by default,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/aws-policies/aws-networking-policies/ensure-vpc-subnets-do-not-assign-public-ip-by-default
aws_security_group.ec2_open,/vulnerable/main.tf,cli_repo,terraform,CKV_AWS_24,Ensure no security groups allow ingress from 0.0.0.0:0 to port 22,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/aws-policies/aws-networking-policies/networking-1-port-security
aws_security_group.ec2_open,/vulnerable/main.tf,cli_repo,terraform,CKV_AWS_260,Ensure no security groups allow ingress from 0.0.0.0:0 to port 80,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/aws-policies/aws-networking-policies/ensure-aws-security-groups-do-not-allow-ingress-from-00000-to-port-80
aws_security_group.ec2_open,/vulnerable/main.tf,cli_repo,terraform,CKV_AWS_382,Ensure no security groups allow egress from 0.0.0.0:0 to port -1,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/aws-policies/aws-networking-policies/bc-aws-382
aws_security_group.ec2_open,/vulnerable/main.tf,cli_repo,terraform,CKV_AWS_23,Ensure every security group and rule has a description,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/aws-policies/aws-networking-policies/networking-31
aws_iam_role_policy_attachment.admin,/vulnerable/main.tf,cli_repo,terraform,CKV_AWS_274,"Disallow IAM roles, users, and groups from using the AWS AdministratorAccess policy",https://docs.prismacloud.io/en/enterprise-edition/policy-reference/aws-policies/aws-iam-policies/bc-aws-274
aws_instance.app,/vulnerable/main.tf,cli_repo,terraform,CKV_AWS_126,Ensure that detailed monitoring is enabled for EC2 instances,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/aws-policies/aws-logging-policies/ensure-that-detailed-monitoring-is-enabled-for-ec2-instances
aws_instance.app,/vulnerable/main.tf,cli_repo,terraform,CKV_AWS_135,Ensure that EC2 is EBS optimized,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/aws-policies/aws-general-policies/ensure-that-ec2-is-ebs-optimized
aws_instance.app,/vulnerable/main.tf,cli_repo,terraform,CKV_AWS_79,Ensure Instance Metadata Service Version 1 is not enabled,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/aws-policies/aws-general-policies/bc-aws-general-31
aws_instance.app,/vulnerable/main.tf,cli_repo,terraform,CKV_AWS_8,Ensure all data stored in the Launch configuration or instance Elastic Blocks Store is securely encrypted,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/aws-policies/aws-general-policies/general-13
aws_s3_bucket_public_access_block.dossiers,/vulnerable/main.tf,cli_repo,terraform,CKV_AWS_54,Ensure S3 bucket has block public policy enabled,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/aws-policies/s3-policies/bc-aws-s3-20
aws_s3_bucket_public_access_block.dossiers,/vulnerable/main.tf,cli_repo,terraform,CKV_AWS_53,Ensure S3 bucket has block public ACLS enabled,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/aws-policies/s3-policies/bc-aws-s3-19
aws_s3_bucket_public_access_block.dossiers,/vulnerable/main.tf,cli_repo,terraform,CKV_AWS_55,Ensure S3 bucket has ignore public ACLs enabled,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/aws-policies/s3-policies/bc-aws-s3-21
aws_s3_bucket_public_access_block.dossiers,/vulnerable/main.tf,cli_repo,terraform,CKV_AWS_56,Ensure S3 bucket has 'restrict_public_buckets' enabled,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/aws-policies/s3-policies/bc-aws-s3-22
aws_security_group.rds_open,/vulnerable/main.tf,cli_repo,terraform,CKV_AWS_382,Ensure no security groups allow egress from 0.0.0.0:0 to port -1,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/aws-policies/aws-networking-policies/bc-aws-382
aws_security_group.rds_open,/vulnerable/main.tf,cli_repo,terraform,CKV_AWS_23,Ensure every security group and rule has a description,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/aws-policies/aws-networking-policies/networking-31
aws_db_instance.mysql,/vulnerable/main.tf,cli_repo,terraform,CKV_AWS_226,Ensure DB instance gets all minor upgrades automatically,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/aws-policies/aws-general-policies/ensure-aws-db-instance-gets-all-minor-upgrades-automatically
aws_db_instance.mysql,/vulnerable/main.tf,cli_repo,terraform,CKV_AWS_157,Ensure that RDS instances have Multi-AZ enabled,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/aws-policies/aws-general-policies/general-73
aws_db_instance.mysql,/vulnerable/main.tf,cli_repo,terraform,CKV_AWS_118,Ensure that enhanced monitoring is enabled for Amazon RDS instances,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/aws-policies/aws-logging-policies/ensure-that-enhanced-monitoring-is-enabled-for-amazon-rds-instances
aws_db_instance.mysql,/vulnerable/main.tf,cli_repo,terraform,CKV_AWS_133,Ensure that RDS instances has backup policy,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/aws-policies/aws-general-policies/ensure-that-rds-instances-have-backup-policy
aws_db_instance.mysql,/vulnerable/main.tf,cli_repo,terraform,CKV_AWS_161,Ensure RDS database has IAM authentication enabled,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/aws-policies/aws-iam-policies/ensure-rds-database-has-iam-authentication-enabled
aws_db_instance.mysql,/vulnerable/main.tf,cli_repo,terraform,CKV_AWS_17,Ensure all data stored in RDS is not publicly accessible,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/aws-policies/public-policies/public-2
